Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","01/10/2024 15:50 UTC"
"Last updated:","13 June 2024"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=6CpU9t
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,"ALG,BAH,ARE,IRQ,ISR,JOR,KUW,LEB,LBY,MAU,MOR,OMN,QAT,SAU,GAZ,SYR,TUN,UAE,WSH,YEM"
"Country of asylum:","ALB,AND,ARM,AUS,AZE,BLR,BEL,BSN,BVT,BUL,HRV,CYP,CZE,DEN,EST,FRO,FIN,FRA,GEO,GFR,GIB,GRE,GRL,VAT,HUN,ICE,IRE,ITA,LVA,LIE,LTU,LUX,MTA,MCO,MNE,NET,MCD,NOR,POL,POR,MDA,ROM,RUS,SMA,SRB,SVK,SVN,SPA,SJM,SWE,SWI,TUR,UKR,GBR"
Year,"Country of origin","Country of asylum","Country of origin (ISO)","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers
2018,Bahrain,France,BHR,FRA,10,0
2018,Bahrain,"United Kingdom of Great Britain and Northern Ireland",BHR,GBR,168,11
2018,Bahrain,Germany,BHR,DEU,79,14
2018,Bahrain,Italy,BHR,ITA,5,0
2018,Bahrain,"Netherlands (Kingdom of the)",BHR,NLD,8,0
2018,Bahrain,Sweden,BHR,SWE,15,5
2018,Bahrain,Switzerland,BHR,CHE,5,0
2018,Palestinian,Albania,PSE,ALB,14,8
2018,Palestinian,Armenia,PSE,ARM,7,0
2018,Palestinian,Azerbaijan,PSE,AZE,5,0
2018,Palestinian,Belgium,PSE,BEL,117,2250
2018,Palestinian,"Bosnia and Herzegovina",PSE,BIH,5,11
2018,Palestinian,Cyprus,PSE,CYP,1997,294
2018,Palestinian,Denmark,PSE,DNK,20,0
2018,Palestinian,France,PSE,FRA,940,271
2018,Palestinian,"United Kingdom of Great Britain and Northern Ireland",PSE,GBR,536,259
2018,Palestinian,Greece,PSE,GRC,1290,1242
2018,Palestinian,Croatia,PSE,HRV,5,5
2018,Palestinian,Hungary,PSE,HUN,93,0
2018,Palestinian,Iceland,PSE,ISL,18,12
2018,Palestinian,Ireland,PSE,IRL,78,46
2018,Palestinian,Italy,PSE,ITA,1049,205
2018,Palestinian,Latvia,PSE,LVA,5,0
2018,Palestinian,"Rep. of Moldova",PSE,MDA,5,0
2018,Palestinian,Montenegro,PSE,MNE,0,6
2018,Palestinian,Malta,PSE,MLT,70,46
2018,Palestinian,"Netherlands (Kingdom of the)",PSE,NLD,162,39
2018,Palestinian,Poland,PSE,POL,17,5
2018,Palestinian,Portugal,PSE,PRT,5,5
2018,Palestinian,Romania,PSE,ROU,53,5
2018,Palestinian,"Russian Federation",PSE,RUS,12,5
2018,Palestinian,Spain,PSE,ESP,1051,2510
2018,Palestinian,Slovakia,PSE,SVK,7,0
2018,Palestinian,Slovenia,PSE,SVN,12,5
2018,Palestinian,Sweden,PSE,SWE,1060,574
2018,Palestinian,Türkiye,PSE,TUR,1226,570
2018,Palestinian,Ukraine,PSE,UKR,18,168
2018,Iraq,Albania,IRQ,ALB,5,25
2018,Iraq,Armenia,IRQ,ARM,1083,9
2018,Iraq,Austria,IRQ,AUT,8295,5769
2018,Iraq,Azerbaijan,IRQ,AZE,5,9
2018,Iraq,Belgium,IRQ,BEL,4000,1555
2018,Iraq,Belarus,IRQ,BLR,13,5
2018,Iraq,"Bosnia and Herzegovina",IRQ,BIH,5,65
2018,Iraq,Bulgaria,IRQ,BGR,1253,362
2018,Iraq,Cyprus,IRQ,CYP,890,445
2018,Iraq,Czechia,IRQ,CZE,172,21
2018,Iraq,Denmark,IRQ,DNK,446,172
2018,Iraq,Estonia,IRQ,EST,25,0
2018,Iraq,Finland,IRQ,FIN,8523,1044
2018,Iraq,France,IRQ,FRA,8131,1521
2018,Iraq,"United Kingdom of Great Britain and Northern Ireland",IRQ,GBR,4708,3420
2018,Iraq,Georgia,IRQ,GEO,560,46
2018,Iraq,Germany,IRQ,DEU,136463,41954
2018,Iraq,Greece,IRQ,GRC,8828,9066
2018,Iraq,Croatia,IRQ,HRV,97,35
2018,Iraq,Hungary,IRQ,HUN,672,22
2018,Iraq,Iceland,IRQ,ISL,146,96
2018,Iraq,Ireland,IRQ,IRL,342,103
2018,Iraq,Italy,IRQ,ITA,6174,1011
2018,Iraq,Liechtenstein,IRQ,LIE,7,0
2018,Iraq,Lithuania,IRQ,LTU,59,23
2018,Iraq,Luxembourg,IRQ,LUX,280,115
2018,Iraq,Latvia,IRQ,LVA,38,5
2018,Iraq,"North Macedonia",IRQ,MKD,0,5
2018,Iraq,"Rep. of Moldova",IRQ,MDA,22,0
2018,Iraq,Montenegro,IRQ,MNE,0,7
2018,Iraq,Malta,IRQ,MLT,78,6
2018,Iraq,"Netherlands (Kingdom of the)",IRQ,NLD,9259,819
2018,Iraq,Norway,IRQ,NOR,1989,138
2018,Iraq,Poland,IRQ,POL,255,27
2018,Iraq,Portugal,IRQ,PRT,162,0
2018,Iraq,Romania,IRQ,ROU,968,969
2018,Iraq,"Russian Federation",IRQ,RUS,17,5
2018,Iraq,Spain,IRQ,ESP,324,150
2018,Iraq,"Serbia and Kosovo: S/RES/1244 (1999)",IRQ,SRB,288,0
2018,Iraq,Slovakia,IRQ,SVK,213,0
2018,Iraq,Slovenia,IRQ,SVN,42,15
2018,Iraq,Sweden,IRQ,SWE,12693,5060
2018,Iraq,Switzerland,IRQ,CHE,4476,854
2018,Iraq,Türkiye,IRQ,TUR,39088,103640
2018,Iraq,Ukraine,IRQ,UKR,79,268
2018,Israel,Austria,ISR,AUT,11,5
2018,Israel,Belgium,ISR,BEL,13,0
2018,Israel,France,ISR,FRA,7,0
2018,Israel,"United Kingdom of Great Britain and Northern Ireland",ISR,GBR,6,5
2018,Israel,Germany,ISR,DEU,41,36
2018,Israel,Ireland,ISR,IRL,5,5
2018,Israel,Italy,ISR,ITA,7,5
2018,Israel,Norway,ISR,NOR,11,0
2018,Israel,Sweden,ISR,SWE,29,27
2018,Israel,Switzerland,ISR,CHE,5,5
2018,Jordan,Austria,JOR,AUT,76,28
2018,Jordan,Belgium,JOR,BEL,24,45
2018,Jordan,Bulgaria,JOR,BGR,7,0
2018,Jordan,Cyprus,JOR,CYP,38,70
2018,Jordan,Czechia,JOR,CZE,0,5
2018,Jordan,Denmark,JOR,DNK,5,13
2018,Jordan,Finland,JOR,FIN,0,10
2018,Jordan,France,JOR,FRA,31,5
2018,Jordan,"United Kingdom of Great Britain and Northern Ireland",JOR,GBR,70,56
2018,Jordan,Germany,JOR,DEU,382,387
2018,Jordan,Greece,JOR,GRC,19,37
2018,Jordan,Italy,JOR,ITA,35,15
2018,Jordan,Luxembourg,JOR,LUX,0,5
2018,Jordan,Malta,JOR,MLT,5,0
2018,Jordan,"Netherlands (Kingdom of the)",JOR,NLD,16,49
2018,Jordan,Norway,JOR,NOR,7,0
2018,Jordan,Poland,JOR,POL,0,5
2018,Jordan,Romania,JOR,ROU,8,0
2018,Jordan,Spain,JOR,ESP,28,20
2018,Jordan,Sweden,JOR,SWE,294,271
2018,Jordan,Switzerland,JOR,CHE,66,5
2018,Jordan,Türkiye,JOR,TUR,36,97
2018,Jordan,Ukraine,JOR,UKR,5,25
2018,Kuwait,Austria,KWT,AUT,5,7
2018,Kuwait,Belgium,KWT,BEL,7,0
2018,Kuwait,France,KWT,FRA,121,173
2018,Kuwait,"United Kingdom of Great Britain and Northern Ireland",KWT,GBR,583,424
2018,Kuwait,Germany,KWT,DEU,27,51
2018,Kuwait,Greece,KWT,GRC,85,60
2018,Kuwait,Ireland,KWT,IRL,47,19
2018,Kuwait,Italy,KWT,ITA,8,0
2018,Kuwait,Luxembourg,KWT,LUX,0,5
2018,Kuwait,"Netherlands (Kingdom of the)",KWT,NLD,5,0
2018,Kuwait,Sweden,KWT,SWE,25,55
2018,Kuwait,Switzerland,KWT,CHE,0,5
2018,Kuwait,Türkiye,KWT,TUR,0,5
2018,Libya,Albania,LBY,ALB,0,28
2018,Libya,Austria,LBY,AUT,92,83
2018,Libya,Azerbaijan,LBY,AZE,5,0
2018,Libya,Belgium,LBY,BEL,60,125
2018,Libya,Belarus,LBY,BLR,9,0
2018,Libya,"Bosnia and Herzegovina",LBY,BIH,0,7
2018,Libya,Cyprus,LBY,CYP,0,9
2018,Libya,Czechia,LBY,CZE,14,14
2018,Libya,Denmark,LBY,DNK,11,13
2018,Libya,Finland,LBY,FIN,26,5
2018,Libya,France,LBY,FRA,721,792
2018,Libya,"United Kingdom of Great Britain and Northern Ireland",LBY,GBR,3003,815
2018,Libya,Germany,LBY,DEU,1732,1345
2018,Libya,Greece,LBY,GRC,39,48
2018,Libya,Croatia,LBY,HRV,5,0
2018,Libya,Hungary,LBY,HUN,7,0
2018,Libya,Iceland,LBY,ISL,5,5
2018,Libya,Ireland,LBY,IRL,150,67
2018,Libya,Italy,LBY,ITA,1142,367
2018,Libya,Luxembourg,LBY,LUX,5,10
2018,Libya,Montenegro,LBY,MNE,0,24
2018,Libya,Malta,LBY,MLT,2688,297
2018,Libya,"Netherlands (Kingdom of the)",LBY,NLD,280,202
2018,Libya,Norway,LBY,NOR,58,5
2018,Libya,Poland,LBY,POL,31,5
2018,Libya,Portugal,LBY,PRT,14,0
2018,Libya,Romania,LBY,ROU,5,0
2018,Libya,Spain,LBY,ESP,24,145
2018,Libya,"Serbia and Kosovo: S/RES/1244 (1999)",LBY,SRB,42,0
2018,Libya,Sweden,LBY,SWE,397,115
2018,Libya,Switzerland,LBY,CHE,303,66
2018,Libya,Türkiye,LBY,TUR,27,87
2018,Libya,Ukraine,LBY,UKR,0,24
2018,Lebanon,Armenia,LBN,ARM,19,5
2018,Lebanon,Austria,LBN,AUT,105,134
2018,Lebanon,Belgium,LBN,BEL,99,125
2018,Lebanon,Bulgaria,LBN,BGR,24,5
2018,Lebanon,Cyprus,LBN,CYP,52,45
2018,Lebanon,Czechia,LBN,CZE,5,0
2018,Lebanon,Denmark,LBN,DNK,25,10
2018,Lebanon,Finland,LBN,FIN,12,5
2018,Lebanon,France,LBN,FRA,140,124
2018,Lebanon,"United Kingdom of Great Britain and Northern Ireland",LBN,GBR,171,50
2018,Lebanon,Georgia,LBN,GEO,6,5
2018,Lebanon,Germany,LBN,DEU,1557,2820
2018,Lebanon,Greece,LBN,GRC,41,99
2018,Lebanon,Hungary,LBN,HUN,7,0
2018,Lebanon,Ireland,LBN,IRL,5,8
2018,Lebanon,Italy,LBN,ITA,328,44
2018,Lebanon,Luxembourg,LBN,LUX,0,5
2018,Lebanon,Latvia,LBN,LVA,5,0
2018,Lebanon,"Netherlands (Kingdom of the)",LBN,NLD,36,43
2018,Lebanon,Norway,LBN,NOR,26,5
2018,Lebanon,Romania,LBN,ROU,5,0
2018,Lebanon,"Russian Federation",LBN,RUS,6,0
2018,Lebanon,Spain,LBN,ESP,24,130
2018,Lebanon,Sweden,LBN,SWE,528,478
2018,Lebanon,Switzerland,LBN,CHE,36,23
2018,Lebanon,Türkiye,LBN,TUR,13,29
2018,Lebanon,Ukraine,LBN,UKR,9,22
2018,Mauritania,Austria,MRT,AUT,5,5
2018,Mauritania,Belgium,MRT,BEL,206,130
2018,Mauritania,Finland,MRT,FIN,5,0
2018,Mauritania,France,MRT,FRA,5419,959
2018,Mauritania,"United Kingdom of Great Britain and Northern Ireland",MRT,GBR,6,5
2018,Mauritania,Germany,MRT,DEU,34,87
2018,Mauritania,Greece,MRT,GRC,53,21
2018,Mauritania,Croatia,MRT,HRV,5,0
2018,Mauritania,Italy,MRT,ITA,347,37
2018,Mauritania,Luxembourg,MRT,LUX,0,5
2018,Mauritania,"Netherlands (Kingdom of the)",MRT,NLD,7,0
2018,Mauritania,Portugal,MRT,PRT,5,0
2018,Mauritania,Spain,MRT,ESP,0,95
2018,Mauritania,Sweden,MRT,SWE,14,0
2018,Mauritania,Switzerland,MRT,CHE,9,0
2018,Mauritania,Türkiye,MRT,TUR,8,0
2018,Morocco,Albania,MAR,ALB,0,28
2018,Morocco,Austria,MAR,AUT,34,112
2018,Morocco,Belgium,MAR,BEL,70,165
2018,Morocco,"Bosnia and Herzegovina",MAR,BIH,0,7
2018,Morocco,Bulgaria,MAR,BGR,5,0
2018,Morocco,Cyprus,MAR,CYP,0,5
2018,Morocco,Czechia,MAR,CZE,5,0
2018,Morocco,Denmark,MAR,DNK,8,51
2018,Morocco,Finland,MAR,FIN,37,12
2018,Morocco,France,MAR,FRA,632,449
2018,Morocco,"United Kingdom of Great Britain and Northern Ireland",MAR,GBR,198,114
2018,Morocco,Germany,MAR,DEU,712,1310
2018,Morocco,Greece,MAR,GRC,150,345
2018,Morocco,Croatia,MAR,HRV,0,5
2018,Morocco,Iceland,MAR,ISL,5,8
2018,Morocco,Ireland,MAR,IRL,6,35
2018,Morocco,Italy,MAR,ITA,1076,2275
2018,Morocco,Luxembourg,MAR,LUX,0,50
2018,Morocco,Montenegro,MAR,MNE,0,20
2018,Morocco,Malta,MAR,MLT,29,17
2018,Morocco,"Netherlands (Kingdom of the)",MAR,NLD,44,327
2018,Morocco,Norway,MAR,NOR,27,10
2018,Morocco,Portugal,MAR,PRT,9,0
2018,Morocco,Romania,MAR,ROU,0,5
2018,Morocco,Spain,MAR,ESP,173,1060
2018,Morocco,Slovenia,MAR,SVN,0,11
2018,Morocco,Sweden,MAR,SWE,240,318
2018,Morocco,Switzerland,MAR,CHE,67,96
2018,Morocco,Türkiye,MAR,TUR,33,75
2018,Morocco,Ukraine,MAR,UKR,0,5
2018,Oman,"United Kingdom of Great Britain and Northern Ireland",OMN,GBR,16,11
2018,Oman,Germany,OMN,DEU,9,6
2018,Qatar,"United Kingdom of Great Britain and Northern Ireland",QAT,GBR,5,0
2018,"Saudi Arabia",Austria,SAU,AUT,5,0
2018,"Saudi Arabia",Belgium,SAU,BEL,5,0
2018,"Saudi Arabia",Czechia,SAU,CZE,5,0
2018,"Saudi Arabia",France,SAU,FRA,12,0
2018,"Saudi Arabia","United Kingdom of Great Britain and Northern Ireland",SAU,GBR,165,74
2018,"Saudi Arabia",Germany,SAU,DEU,130,36
2018,"Saudi Arabia",Greece,SAU,GRC,7,0
2018,"Saudi Arabia",Ireland,SAU,IRL,9,7
2018,"Saudi Arabia",Italy,SAU,ITA,11,11
2018,"Saudi Arabia",Malta,SAU,MLT,5,0
2018,"Saudi Arabia","Netherlands (Kingdom of the)",SAU,NLD,13,0
2018,"Saudi Arabia",Norway,SAU,NOR,6,0
2018,"Saudi Arabia",Spain,SAU,ESP,0,5
2018,"Saudi Arabia",Sweden,SAU,SWE,50,15
2018,"Saudi Arabia",Switzerland,SAU,CHE,7,11
2018,"Saudi Arabia",Türkiye,SAU,TUR,5,11
2018,"Syrian Arab Rep.",Albania,SYR,ALB,6,44
2018,"Syrian Arab Rep.",Armenia,SYR,ARM,14701,8
2018,"Syrian Arab Rep.",Austria,SYR,AUT,49179,1538
2018,"Syrian Arab Rep.",Azerbaijan,SYR,AZE,15,5
2018,"Syrian Arab Rep.",Belgium,SYR,BEL,9080,2005
2018,"Syrian Arab Rep.",Belarus,SYR,BLR,66,5
2018,"Syrian Arab Rep.","Bosnia and Herzegovina",SYR,BIH,15,67
2018,"Syrian Arab Rep.",Bulgaria,SYR,BGR,17161,215
2018,"Syrian Arab Rep.",Cyprus,SYR,CYP,6259,2553
2018,"Syrian Arab Rep.",Czechia,SYR,CZE,448,8
2018,"Syrian Arab Rep.",Denmark,SYR,DNK,19698,292
2018,"Syrian Arab Rep.",Estonia,SYR,EST,146,0
2018,"Syrian Arab Rep.",Finland,SYR,FIN,2497,73
2018,"Syrian Arab Rep.",France,SYR,FRA,15822,3352
2018,"Syrian Arab Rep.","United Kingdom of Great Britain and Northern Ireland",SYR,GBR,9720,685
2018,"Syrian Arab Rep.",Georgia,SYR,GEO,428,24
2018,"Syrian Arab Rep.",Germany,SYR,DEU,532065,52396
2018,"Syrian Arab Rep.",Greece,SYR,GRC,23931,14104
2018,"Syrian Arab Rep.",Croatia,SYR,HRV,398,29
2018,"Syrian Arab Rep.",Hungary,SYR,HUN,971,5
2018,"Syrian Arab Rep.",Iceland,SYR,ISL,87,30
2018,"Syrian Arab Rep.",Ireland,SYR,IRL,2126,66
2018,"Syrian Arab Rep.",Italy,SYR,ITA,4652,1197
2018,"Syrian Arab Rep.",Liechtenstein,SYR,LIE,32,0
2018,"Syrian Arab Rep.",Lithuania,SYR,LTU,435,10
2018,"Syrian Arab Rep.",Luxembourg,SYR,LUX,686,160
2018,"Syrian Arab Rep.",Latvia,SYR,LVA,384,0
2018,"Syrian Arab Rep.","North Macedonia",SYR,MKD,17,0
2018,"Syrian Arab Rep.","Rep. of Moldova",SYR,MDA,213,5
2018,"Syrian Arab Rep.",Montenegro,SYR,MNE,5,47
2018,"Syrian Arab Rep.",Malta,SYR,MLT,1497,370
2018,"Syrian Arab Rep.","Netherlands (Kingdom of the)",SYR,NLD,32092,1687
2018,"Syrian Arab Rep.",Norway,SYR,NOR,13914,235
2018,"Syrian Arab Rep.",Poland,SYR,POL,531,20
2018,"Syrian Arab Rep.",Portugal,SYR,PRT,602,0
2018,"Syrian Arab Rep.",Romania,SYR,ROU,2292,150
2018,"Syrian Arab Rep.","Russian Federation",SYR,RUS,828,174
2018,"Syrian Arab Rep.",Spain,SYR,ESP,13765,2320
2018,"Syrian Arab Rep.","Serbia and Kosovo: S/RES/1244 (1999)",SYR,SRB,74,7
2018,"Syrian Arab Rep.",Slovakia,SYR,SVK,14,0
2018,"Syrian Arab Rep.",Slovenia,SYR,SVN,290,23
2018,"Syrian Arab Rep.",Sweden,SYR,SWE,109343,2353
2018,"Syrian Arab Rep.",Switzerland,SYR,CHE,16565,1789
2018,"Syrian Arab Rep.",Türkiye,SYR,TUR,3622366,111
2018,"Syrian Arab Rep.",Ukraine,SYR,UKR,457,489
2018,Tunisia,Austria,TUN,AUT,6,54
2018,Tunisia,Belgium,TUN,BEL,37,35
2018,Tunisia,Bulgaria,TUN,BGR,5,0
2018,Tunisia,Czechia,TUN,CZE,0,8
2018,Tunisia,Denmark,TUN,DNK,0,9
2018,Tunisia,Finland,TUN,FIN,5,0
2018,Tunisia,France,TUN,FRA,326,225
2018,Tunisia,"United Kingdom of Great Britain and Northern Ireland",TUN,GBR,53,43
2018,Tunisia,Germany,TUN,DEU,197,599
2018,Tunisia,Greece,TUN,GRC,19,53
2018,Tunisia,Hungary,TUN,HUN,8,0
2018,Tunisia,Iceland,TUN,ISL,0,7
2018,Tunisia,Ireland,TUN,IRL,0,14
2018,Tunisia,Italy,TUN,ITA,672,705
2018,Tunisia,Luxembourg,TUN,LUX,5,60
2018,Tunisia,Malta,TUN,MLT,12,7
2018,Tunisia,"Netherlands (Kingdom of the)",TUN,NLD,16,64
2018,Tunisia,Norway,TUN,NOR,5,5
2018,Tunisia,Spain,TUN,ESP,0,100
2018,Tunisia,Sweden,TUN,SWE,53,104
2018,Tunisia,Switzerland,TUN,CHE,246,34
2018,Tunisia,Türkiye,TUN,TUR,13,38
2018,Tunisia,Ukraine,TUN,UKR,0,10
2018,"United Arab Emirates","United Kingdom of Great Britain and Northern Ireland",ARE,GBR,20,8
2018,"United Arab Emirates",Germany,ARE,DEU,33,5
2018,"United Arab Emirates",Norway,ARE,NOR,0,5
2018,"United Arab Emirates",Sweden,ARE,SWE,5,0
2018,"United Arab Emirates",Switzerland,ARE,CHE,0,68
2018,"United Arab Emirates",Türkiye,ARE,TUR,6,21
2018,"Western Sahara",France,ESH,FRA,573,1097
2018,"Western Sahara","United Kingdom of Great Britain and Northern Ireland",ESH,GBR,11,5
2018,"Western Sahara",Greece,ESH,GRC,7,5
2018,"Western Sahara",Italy,ESH,ITA,5,0
2018,"Western Sahara",Spain,ESH,ESP,19,95
2018,"Western Sahara",Switzerland,ESH,CHE,9,0
2018,"Western Sahara",Ukraine,ESH,UKR,0,5
2018,Yemen,Armenia,YEM,ARM,20,0
2018,Yemen,Austria,YEM,AUT,258,74
2018,Yemen,Azerbaijan,YEM,AZE,9,5
2018,Yemen,Belgium,YEM,BEL,24,95
2018,Yemen,Belarus,YEM,BLR,23,0
2018,Yemen,"Bosnia and Herzegovina",YEM,BIH,0,14
2018,Yemen,Bulgaria,YEM,BGR,12,0
2018,Yemen,Cyprus,YEM,CYP,20,9
2018,Yemen,Czechia,YEM,CZE,15,5
2018,Yemen,Denmark,YEM,DNK,5,5
2018,Yemen,Estonia,YEM,EST,5,0
2018,Yemen,Finland,YEM,FIN,182,46
2018,Yemen,France,YEM,FRA,338,196
2018,Yemen,"United Kingdom of Great Britain and Northern Ireland",YEM,GBR,624,168
2018,Yemen,Georgia,YEM,GEO,20,35
2018,Yemen,Germany,YEM,DEU,1809,873
2018,Yemen,Greece,YEM,GRC,369,178
2018,Yemen,Croatia,YEM,HRV,7,0
2018,Yemen,Hungary,YEM,HUN,18,0
2018,Yemen,Ireland,YEM,IRL,8,6
2018,Yemen,Italy,YEM,ITA,141,54
2018,Yemen,Luxembourg,YEM,LUX,0,10
2018,Yemen,"Rep. of Moldova",YEM,MDA,5,0
2018,Yemen,Montenegro,YEM,MNE,11,0
2018,Yemen,Malta,YEM,MLT,0,5
2018,Yemen,"Netherlands (Kingdom of the)",YEM,NLD,376,399
2018,Yemen,Norway,YEM,NOR,235,7
2018,Yemen,Poland,YEM,POL,9,8
2018,Yemen,Portugal,YEM,PRT,7,0
2018,Yemen,Romania,YEM,ROU,33,9
2018,Yemen,"Russian Federation",YEM,RUS,92,9
2018,Yemen,Spain,YEM,ESP,103,500
2018,Yemen,Slovakia,YEM,SVK,19,0
2018,Yemen,Slovenia,YEM,SVN,5,0
2018,Yemen,Sweden,YEM,SWE,1343,228
2018,Yemen,Switzerland,YEM,CHE,336,20
2018,Yemen,Türkiye,YEM,TUR,169,608
2018,Yemen,Ukraine,YEM,UKR,5,6
2019,Algeria,Austria,DZA,AUT,37,117
2019,Algeria,Belgium,DZA,BEL,75,78
2019,Algeria,"Bosnia and Herzegovina",DZA,BIH,0,5
2019,Algeria,Bulgaria,DZA,BGR,0,21
2019,Algeria,Cyprus,DZA,CYP,8,8
2019,Algeria,Czechia,DZA,CZE,0,5
2019,Algeria,Denmark,DZA,DNK,5,9
2019,Algeria,Finland,DZA,FIN,14,13
2019,Algeria,France,DZA,FRA,1997,1211
2019,Algeria,"United Kingdom of Great Britain and Northern Ireland",DZA,GBR,344,353
2019,Algeria,Germany,DZA,DEU,613,1087
2019,Algeria,Greece,DZA,GRC,98,478
2019,Algeria,Croatia,DZA,HRV,0,23
2019,Algeria,Hungary,DZA,HUN,15,0
2019,Algeria,Ireland,DZA,IRL,54,202
2019,Algeria,Italy,DZA,ITA,228,130
2019,Algeria,Luxembourg,DZA,LUX,0,40
2019,Algeria,"North Macedonia",DZA,MKD,0,7
